Date,AAPL,ADBE,AIG,AMD,AMZN,BAC,CRM,CVX,GOOGL,GS,JPM,MA,META,MS,MSFT,NVDA,ORCL,PYPL,V,XOM,ABBV,BA,CAT,CMS,COP,COST,DIS,DUK,HON,JNJ,KO,NEE,NFLX,PEP,PFE,PG,T,UNH,UPS,WMT
2019-01-02,148158800,2784100,4516200,87148700,159662000,71836300,4783900,6384800,31868000,3999400,15670900,4294000,28146200,10648000,35329300,508752000,14320400,10146200,8788000,16727200,6908400,3292200,4783200,3019300,5735400,2143100,9723500,2857400,2788145,7631700,11603700,10549600,116795000,4835400,26430315,9843900,52025256,4063600,3297300,24458100
2019-01-03,365248800,3663500,5058200,117277600,139512000,66599600,6365700,6496200,41960000,4060200,16286400,5070900,22717900,13034500,42579100,705552000,19868700,9650700,9428300,13866100,7653200,5705600,6165800,3091200,4727300,2877700,10594700,2959700,3221137,8654500,14714400,9260800,149696000,5975900,28503533,9820200,49787166,4623200,2705000,24831900
2019-01-04,234428400,4043400,4823100,111878600,183652000,83829100,6650600,7952500,46022000,3788300,16935200,4452900,29002100,14371600,44060600,585620000,20984000,9234800,11065800,16043600,8910600,4448800,5456600,2958900,7700100,2761600,10122800,3278100,3625397,8831700,13013700,10848800,193301000,6293900,27145348,10565700,55703858,5367600,3347300,24087300
2019-01-07,219111200,3638500,5014300,107157000,159864000,57016300,9064800,5712700,47446000,3152100,15430700,4219200,20089300,11812400,35656100,709160000,17967900,11094100,12928000,10844200,7281500,4030300,4653400,2254800,6272200,2226600,6714700,3060200,2978944,8404700,13135500,9478000,186201000,5220300,20995469,9012500,54377872,4133000,3795700,23369100
2019-01-08,164101200,3685900,3909400,121271000,177628000,67339400,9057300,5674900,35414000,2692700,13578800,5069700,26263800,11398200,31514400,786016000,16255700,8307600,9243000,11439000,7478300,4736500,4202600,2220000,5774900,2366500,8730700,2350500,2666846,9351600,15420700,10599600,153592000,6407700,19677231,9551300,57683105,3618600,3034300,21602700
2019-01-09,180396400,3594200,4272800,163944100,126976000,69707200,5445900,7097000,26998000,3321400,14230300,5471500,22205900,9223000,32280800,617260000,19100200,9578300,9987600,13473500,9971900,4213900,4865600,2587900,8350300,1862900,5931900,3264400,2016144,7403500,18032500,7047600,133432000,8521300,20107580,15015600,58660217,3425400,3678200,18816900
2019-01-10,143122800,2704600,3250200,115629400,130154000,65235800,5116900,6078300,26598000,2808700,14376100,3693600,16125000,7560800,30067600,523156000,16652700,7478100,12514900,13151100,6527700,5358100,3418500,2445200,8811100,2340700,6160100,3758000,2174773,6224400,15976600,11384800,134725000,7905000,39731162,11102300,42388654,3374100,2432200,28188900
2019-01-11,108092800,3179500,4806800,85110800,93724000,63476000,5185200,4491700,30864000,3182700,15439900,2500100,12908000,8191900,28314200,874764000,16397400,7398200,5860100,9790100,5318100,3158900,2908600,1910400,6018300,1861100,4819100,3082400,1912449,5300400,11088600,8860000,195004000,5939000,21064506,7166600,38308086,3967100,5282800,16183800
2019-01-14,129756800,2606800,4711900,71350200,120118000,76715400,5815500,6121700,28490000,3361700,21258500,3336500,20520300,12336300,28437100,730168000,14869400,6084700,8666700,11012400,6368500,2476400,4482300,2568700,4972000,1523100,6980600,3931000,3136764,7374400,11514300,15355600,104996000,5804600,17605173,7952000,32395897,4955500,4731000,21255300
2019-01-15,114843600,3656500,5341400,62785800,119970000,80625500,5350400,4226100,37518000,2911800,26504900,3783000,24069000,11737000,31587600,617012000,12142100,10377900,7594900,10298300,7295500,2940900,3224100,2269900,4504100,1681900,9800900,2722900,1863383,5194400,11342900,9261200,211812000,4508000,25865371,7834500,35397670,5325600,4777100,21174600
2019-01-16,122278800,2885200,5299000,70849300,127338000,163131700,3936800,5624100,38280000,15194200,18533000,3546300,18025700,30530400,29853900,470104000,14114000,8475000,7258000,12595600,4927000,2731100,3636900,2326600,5402300,1455000,5899900,2279100,2273511,6264200,16907800,7059200,153855000,4953500,30169380,7964500,32430586,6069400,4463400,16230000
2019-01-17,119284800,2836200,4980800,85018400,84178000,107428800,3743200,4442700,24896000,8177000,14247600,2764100,15787900,47037200,28393000,493436000,12711200,10254500,5864900,10141700,6438700,4270400,6878500,2009700,5997400,1517100,6392000,1895700,2607462,7632000,12044600,8200800,188712000,4612200,24177284,8044500,34777508,3583600,4004300,16843500
2019-01-18,135004000,3711300,5152800,88131000,120410000,97928200,6151200,9382000,44892000,5650900,16428700,4866600,31029600,20614400,37427600,651336000,15930600,11958400,10263500,15759200,6190000,4256500,6122400,2254300,6073800,2115400,8554700,2842600,5484835,10593000,12760700,7414400,266210000,5142700,38618455,9100300,57261808,4844800,4249100,18361800
2019-01-22,121576000,4155500,5775500,78513700,128336000,84861400,5203300,7242000,39632000,4648500,17083700,4457700,22378700,20202400,32371300,661552000,13318700,7890300,8102300,15035600,5664600,4336500,5188700,1900200,6915500,3310800,6986700,2693600,3233782,10568100,11700400,8654400,179414000,5298200,29444122,13518500,49859854,4052700,5593900,24189600
2019-01-23,92522400,2031400,4165000,77811300,104504000,79425900,3335400,6082300,25194000,3410700,12146700,3086100,20098400,15583900,25874300,591020000,15551200,5595700,5465800,13187200,4969300,2924900,3123600,2626200,5938700,2220200,6845600,2629400,3000897,9267800,12058300,9089200,134801000,5197400,24462813,22869000,36879490,2971100,4573100,25037400
2019-01-24,101766000,3643000,3709000,97433400,81798000,59492300,6734700,8470700,29114000,2631800,11296800,2792000,20955500,13421600,23164800,708972000,11442200,9749100,4924800,11272500,8372600,2801300,3943600,2204000,5789900,1994400,6716800,2504400,2738775,9917000,10272000,9812800,111316000,4478000,34394023,12146400,32297391,2927300,2807000,22829100
2019-01-25,134142000,3822300,4762700,110239500,98918000,72182100,4600800,6261800,23260000,3275000,14369400,4677500,22237200,13422700,31225600,1154572000,16656600,11664300,9756300,8996200,21308600,3185600,6417400,2031000,4504500,2252300,5706900,2472900,3243697,7585100,12066500,15254400,111529000,5074800,35862455,10618000,40353402,2809100,3445500,21654600
2019-01-28,104768400,2110400,4146700,135164100,96754000,59963800,4054700,6886600,29334000,2369600,12283100,3277200,15508500,10396600,29476700,2511528000,11799100,7361100,9857200,13678400,14718800,3128900,17421400,1730600,5942800,1999400,6178800,2079100,3518869,6927700,9966900,11976800,86521000,4055900,39329694,9765600,41081866,2837300,3126200,17627400
2019-01-29,166348800,1937100,3545500,131202500,92656000,51451900,3915100,5359900,19704000,2694100,9743300,3661900,17632100,9916400,31490500,1153932000,10838600,6399900,7457700,10513200,13909000,3202700,8550800,1702600,5308800,1636500,5253700,3625500,2452778,6669300,11998600,7924400,76552000,4301500,51376808,9769800,41497735,2173000,2209000,15760200
2019-01-30,244439200,2482900,4519900,211421200,115676000,66475800,4653400,7941700,29452000,2773300,12526300,4079500,44613200,12347900,49471900,974228000,13483800,11622800,8078100,11524700,9277200,12705300,7181600,1898400,8087400,1589800,7853800,2215100,3149106,7299300,12952500,8345600,92345000,5023800,36067880,7750200,123070434,3659000,4013000,35547900
2019-01-31,162958400,5007200,6456600,182575600,218206000,100201200,8615900,11225600,40232000,5604500,17520600,11316200,77233600,11163400,55636400,842852000,20403600,23729900,20095700,19876700,11563900,6878500,6643300,3523800,9927700,4341100,8351600,6869400,3514114,17298100,32181500,12519600,85355000,6183400,40927452,16044400,69082348,4055100,7327400,44169000
2019-02-01,130672400,3033300,3383400,105356200,230124000,64244100,5959200,10934300,33116000,3174200,13000800,6470100,30806500,13322100,35535700,625048000,14849600,10514600,13248300,22968700,6759500,5625700,5646700,2814200,7486400,3453700,6557700,3207100,5601075,9575200,19130100,8934000,98278000,5010500,27239681,12720800,54384889,3946800,3526100,37775700
2019-02-04,125982000,3705100,8672900,70843800,98582000,55195900,5264700,7987900,78408000,2400200,9871500,4397500,20036000,8715300,31315100,528592000,12221200,7084500,11882700,15483800,10205600,4256600,4541700,2690400,5593100,1630300,7037000,3301800,4747534,7759000,15105700,11302000,90514000,3665000,19426485,11887500,51681413,3398900,3184700,21805800
2019-02-05,144406400,3042000,10111900,122226000,89062000,46622600,4575600,6887400,82296000,2601000,12763000,3091500,22557000,9971500,27325400,542424000,13345500,5591300,8455700,12786700,7965500,7230400,3614500,2081900,4483900,2074500,13619800,3464300,2997255,6449800,12651900,7956800,90466000,4593400,21127641,9772300,38762616,3597000,3690400,18299700
2019-02-06,112958400,2539100,4817400,78684300,78798000,35606900,4205100,4990400,48256000,2063100,8745000,2698000,13281200,9744000,20609800,702464000,9220900,5939400,6146900,10866900,4907200,5356000,3098200,1674400,4071300,1618800,14229000,2467400,3183907,5066100,8689100,6647200,67177000,4209400,16450410,8693900,30356937,2570000,4490600,12794700
2019-02-07,126966800,2099300,6976900,86723900,92532000,62289200,4545500,7281900,38298000,2948800,13177500,2742900,17517600,12745400,29760700,637120000,14905000,7283800,10675300,14418900,5877500,5211400,3682100,1852900,6230300,2526600,8658100,2844600,2996244,6085300,10047800,8516800,78645000,4227700,24248008,8732500,50163315,2458200,3395700,21030300
2019-02-08,95280000,2756800,4922200,78129300,113150000,50031300,3018700,5671000,21766000,2757500,12892600,3248400,12561400,13993900,21461100,461604000,11535600,7642100,5950700,11959500,4598900,4570900,3135000,2096700,6554900,2013700,6395500,3716600,3998195,4436700,9813300,7322400,75614000,3868300,27500125,7483200,32148838,4547000,2951000,18507600
2019-02-11,83973600,3538100,5160300,60578700,66346000,47724400,7125500,4859600,18498000,2056500,10978500,2974400,12811200,17058300,18914100,495180000,9714500,6455900,7600100,10434800,4803500,3046900,2648100,1733000,5200400,2376600,11086400,2428100,3012430,4962200,9369300,7404400,54549000,4851100,27102134,8494100,38471865,4856200,2765300,16628400
2019-02-12,89134000,2518400,3964400,67595400,97172000,49178100,5631700,5400700,35036000,2392900,12852300,3411400,16292300,12400800,25056600,591060000,14188500,7497000,6090000,12599200,6620100,3263300,4505600,1982800,3958000,2091200,7610200,2676900,2685865,6262300,10983300,7004800,104294000,6765300,30540177,11238800,39705568,4327900,2881600,17643900
2019-02-13,89960800,1899700,5290400,57544200,71206000,48951200,5296000,5935900,28042000,2757300,10754100,2996600,14205100,9528300,18394900,605372000,11342600,8577900,6885600,13214600,4237200,3078700,3189600,1853600,5839800,1703000,6919700,5281400,2791888,7902200,12748800,5726400,105591000,5528000,24757195,11587200,39773092,3066400,2731500,16375500
2019-02-14,87342800,1885000,22229200,64441200,82410000,47756600,5061100,5406500,21106000,2865000,11518500,2875600,12755200,10414200,21784700,827264000,11155300,6579200,6314000,12772900,3436300,2724300,2877500,2277800,5442800,1411100,6324300,3987400,2135318,3910400,58905400,6408000,92953000,6359200,19864949,7930100,34220369,3015300,2359400,21602400
2019-02-15,98507200,2999200,16385400,78644100,86878000,65867000,5282000,6209800,27826000,3065400,14716900,2758500,15504400,13289700,26606900,1516748000,13822200,6080200,6536000,14330300,6295400,4017300,5217500,3460500,5173500,2635500,8197300,4472900,3074850,6665000,35701600,8813200,92300000,8889500,19168993,12069100,49237839,3673700,4273400,28443000
2019-02-19,75891200,3475600,8824000,57517900,73634000,40841300,3883200,4277800,21980000,2558200,12764900,2836700,14345400,9401700,18038500,551892000,12357500,8092400,8406700,13551500,5674700,3051500,3881300,2526900,5189600,1938100,8169600,4358600,2508521,5935500,25511300,9774000,73966000,5596100,24432985,10098200,32719218,2486700,2658700,62091900
2019-02-20,104457600,2484800,5647400,57091600,66752000,42806300,7047200,5940600,24090000,2266000,10030300,3103600,11770700,10031600,21607700,540988000,13440900,8154100,5283100,12633100,5564100,3990100,6199000,4088500,5837100,1785600,7081500,3471200,2652986,6089800,27464000,10203200,81107000,6038900,27354884,8947400,32767808,2802800,3346700,52895400
2019-02-21,68998800,2607400,5419200,49608200,69668000,42754100,4463000,5139400,33272000,2785900,8400100,3528800,15607800,9603600,29063200,448548000,14759500,6410000,8573400,10266000,6360800,2880500,4051100,2502100,5984300,1615300,9480100,3167800,2737865,6665500,23121200,8274800,62279000,4825900,19611883,7444800,35192450,2554300,2260100,19239600
2019-02-22,75652800,2006000,4929500,52650700,61924000,47887800,4175000,4517600,29436000,2626600,10647300,3295300,15858500,10132100,27763200,401740000,11689700,4898000,9680800,9519300,5022700,3132300,3485000,2086000,5225500,1542500,8734700,2538500,2901957,5223900,24728400,6735200,70882000,4865400,24779329,7925400,30924933,3191100,4085000,24260700
2019-02-25,87493600,1815800,11727000,63221000,63690000,61227400,5076700,5196600,26208000,3032200,11230700,3359200,18737100,10804700,23750600,656020000,14722200,7470700,9731200,9274400,5511800,3276100,4444100,1964200,5160900,1794000,9327700,2551000,2339472,6846600,23774400,7555600,75693000,3755900,25274815,7436100,32325063,3679100,3112700,27705000
2019-02-26,68280800,2538900,7704100,48470100,53316000,53153200,4496300,5445600,35026000,2499800,15465400,2852300,13784100,10404400,21536700,488464000,12041300,5906400,7332500,10990600,4283100,2503700,7275600,2299100,4689900,1884100,8956000,3234500,2009467,5106900,20463200,7644400,49446000,4074600,16548959,7115300,39276195,3212900,2927600,25464300
2019-02-27,111341600,2266800,4748300,62649300,62976000,48128600,4278300,5289800,22092000,1804200,9968800,2119500,12697500,6916600,21487100,500256000,10674200,5565400,9731200,12398200,4175500,4603800,3441000,1651900,5355700,1482700,7249500,2112500,1771827,4378100,17827500,7288000,56299000,4175100,16475074,6013600,34886738,8952900,2620800,23706900
2019-02-28,112861600,3810300,4908300,39384900,60518000,62358100,6908100,6406500,27422000,2964300,15156900,3240400,11114200,12299900,29083900,324944000,31856900,6151800,6250200,14597900,6310800,5063100,4024000,3427300,8154300,2055600,6716700,4137300,2877070,10133200,22533900,12454000,61868000,5586300,39002427,10575400,37371224,11034300,2843600,34127700
2019-03-01,103544800,2594000,5349000,48084000,99498000,45771500,6919900,7743600,34086000,2580500,13813300,3001400,11097800,12336100,23501200,357188000,15757700,5434000,7016800,15419400,8567900,5124200,3811000,2853400,7372600,2178200,6996900,5613700,3424886,5641600,16291600,6865600,55265000,3629100,26667781,7733200,40505000,6921300,3904100,31057500
2019-03-04,109744800,2994900,9514400,48147700,123348000,56893200,17886300,7499500,35490000,2683600,12466300,2977700,18894700,12115100,26608000,409992000,14850100,7855800,6979700,18089900,5872500,5971000,3859800,2343600,6625800,2444700,6015000,3104400,4115852,8377700,15973800,8609200,74870000,4383100,22805820,6895300,65515095,8646300,2730700,23051400
2019-03-05,78949600,2101800,4588800,35462600,73630000,39932500,16042900,7345200,40094000,2338600,10856600,2779100,28187900,10449100,19538300,362924000,16291900,6321900,9678600,13745500,5933100,2844300,3122900,1981300,7635500,2160200,5225100,3513400,3421345,6568900,13062300,7666800,59378000,3785400,26529812,6274600,34463455,6924500,3150900,18357900
2019-03-06,83241600,1950500,5266500,60479400,79920000,41672000,7436300,7599900,23602000,2247500,9070800,2849300,21531700,7062700,17687000,403524000,12389300,3226500,8186400,18633600,5293200,4159400,3886000,1604500,7296300,1985300,7352800,3121400,3975231,6236900,14232100,7155600,62119000,4770700,22410359,4622300,32544317,4878700,2679500,14089800
2019-03-07,99185600,3185200,5967000,52186300,99140000,53908600,6916500,7201100,30086000,3567800,12705700,3879600,18306500,12502100,25339000,450104000,16624100,6170100,8761700,16541700,6642500,4893600,4290800,2040000,6964300,3279100,6324000,3531000,3621351,6100400,12084000,9411200,61513000,4858300,29046132,8408600,32869756,5033500,3979700,18379800
